value_time,setting_name,setting_value
2025-10-09 14:29:17+0000,activity state,sedentary
2025-10-09 14:29:17+0000,auto run enabled,true
2025-10-09 14:29:17+0000,auto stride enabled,true
2025-10-09 14:29:17+0000,body constitution,regular
2025-10-09 14:29:17+0000,hr scaling sleep rest,"[2025-08-31] Current: 0.85, [2025-08-30] Previous: 0.86"
2025-10-09 14:29:17+0000,is nursing,false
2025-10-09 14:29:17+0000,pregnant state,not pregnant
2025-10-09 14:29:17+0000,sedentary prune time,2025-09-01T00:00:00.0Z
2025-10-09 14:29:17+0000,sleep proc algorithm,composite
2025-10-09 14:29:17+0000,stride length running,0
2025-10-09 14:29:17+0000,stride length walking,0
